,Unnamed: 0,symbol,date,close,high,low,open,volume,adjClose,adjVolume,divCash,splitFactor
0,0,AAPL,2015-05-27 00:00:00+00:00,132.045,132.26,130.05,130.34,45833246,121.6825575,45833246,0.0,1.0
1,1,AAPL,2015-05-28 00:00:00+00:00,131.78,131.95,131.1,131.86,30733309,121.4383538,30733309,0.0,
2,2,AAPL,2015-05-29 00:00:00+00:00,130.28,131.45,129.9,131.23,50884452,120.0560687,50884452,0.0,1.0
3,3,AAPL,2015-06-01 00:00:00+00:00,130.535,131.39,130.05,131.2,32112797,120.2910572,32112797,0.0,1.0
4,4,AAPL,2015-06-02 00:00:00+00:00,129.96,130.655,129.32,129.86,33667627,119.7611812,33667627,0.0,
5,5,AAPL,2015-06-03 00:00:00+00:00,130.12,130.94,129.9,130.66,30983542,119.908625,30983542,0.0,1.0
6,6,,2015-06-04 00:00:00+00:00,129.36,130.58,128.91,129.58,38450118,119.2082672,38450118,0.0,1.0
7,7,,2015-06-05 00:00:00+00:00,128.65,129.69,128.36,129.5,35626800,118.5539856,35626800,0.0,1.0
8,8,,2015-06-08 00:00:00+00:00,127.8,129.21,126.83,128.9,52674786,117.7706907,52674786,0.0,1.0
9,9,,2015-06-09 00:00:00+00:00,127.42,128.08,125.62,126.7,56075420,117.4205118,56075420,0.0,1.0
10,10,,2015-06-10 00:00:00+00:00,128.88,129.34,127.85,127.92,39087250,118.765936,39087250,0.0,1.0
11,11,,2015-06-11 00:00:00+00:00,128.59,130.18,128.475,129.18,35390887,118.4986942,35390887,0.0,1.0
12,12,,2015-06-12 00:00:00+00:00,127.17,128.33,127.11,128.185,36886246,117.1901309,36886246,0.0,1.0
13,13,,2015-06-15 00:00:00+00:00,126.92,127.24,125.71,126.1,43988946,116.9597501,43988946,0.0,1.0
14,14,,2015-06-16 00:00:00+00:00,127.6,127.85,126.37,127.03,31494131,117.586386,31494131,0.0,1.0
15,15,,2015-06-17 00:00:00+00:00,127.3,127.88,126.74,127.72,32918071,117.309929,32918071,0.0,1.0
16,16,,2015-06-18 00:00:00+00:00,127.88,128.31,127.22,127.23,35407220,117.8444126,35407220,0.0,1.0
